"","time","minute","minutes_after_dark","period","subject_race"
"336",17:45:00,1065,5,"night","black"
"337",17:45:00,1065,5,"night","white"
"338",17:48:00,1068,8,"night","white"
"339",17:49:00,1069,9,"night","white"
"340",17:50:00,1070,10,"night","white"
"341",18:01:00,1081,21,"night","white"
"342",18:06:00,1086,26,"night","black"
"343",18:07:00,1087,27,"night","black"
"344",18:09:00,1089,29,"night","black"
"345",18:20:00,1100,40,"night","white"
"346",18:30:00,1110,50,"night","white"
"347",18:38:00,1118,58,"night","white"
"348",18:40:00,1120,60,"night","black"
"349",18:43:00,1123,63,"night","white"
"350",18:59:00,1139,79,"night","white"
"351",19:00:00,1140,80,"night","black"
"352",19:00:00,1140,80,"night","white"
"353",19:05:00,1145,85,"night","black"
"354",19:25:00,1165,105,"night","white"
"355",19:27:00,1167,107,"night","white"
"356",19:30:00,1170,110,"night","black"
"357",19:30:00,1170,110,"night","white"
"358",19:35:00,1175,115,"night","white"
"359",19:35:00,1175,115,"night","white"
"360",19:42:00,1182,122,"night","white"
"361",19:42:00,1182,122,"night","white"
"362",19:53:00,1193,133,"night","white"
"363",20:03:00,1203,143,"night","white"
"364",20:09:00,1209,149,"night","black"
"365",20:15:00,1215,155,"night","black"
"366",20:30:00,1230,170,"night","white"
"367",20:35:00,1235,175,"night","black"
"368",20:45:00,1245,185,"night","white"
"369",20:53:00,1253,193,"night","black"
"370",17:45:00,1065,4,"night","white"
"371",17:45:00,1065,4,"night","white"
"372",18:10:00,1090,29,"night","white"
"373",18:11:00,1091,30,"night","black"
"374",18:16:00,1096,35,"night","black"
"375",18:19:00,1099,38,"night","white"
"376",18:50:00,1130,69,"night","white"
"377",19:10:00,1150,89,"night","black"
"378",19:11:00,1151,90,"night","white"
"379",19:15:00,1155,94,"night","white"
"380",19:20:00,1160,99,"night","black"
"381",19:30:00,1170,109,"night","white"
"382",20:08:00,1208,147,"night","white"
"383",20:10:00,1210,149,"night","white"
"384",20:20:00,1220,159,"night","white"
"385",17:45:00,1065,4,"night","white"
"386",17:56:00,1076,15,"night","black"
"387",17:58:00,1078,17,"night","black"
"388",17:58:00,1078,17,"night","white"
"389",18:00:00,1080,19,"night","white"
"390",18:03:00,1083,22,"night","white"
"391",18:05:00,1085,24,"night","white"
"392",18:25:00,1105,44,"night","black"
"393",18:27:00,1107,46,"night","white"
"394",18:32:00,1112,51,"night","black"
"395",18:35:00,1115,54,"night","white"
"396",18:45:00,1125,64,"night","black"
"397",18:49:00,1129,68,"night","white"
"398",18:50:00,1130,69,"night","black"
"399",18:52:00,1132,71,"night","black"
"400",18:54:00,1134,73,"night","black"
"401",19:00:00,1140,79,"night","white"
"402",19:10:00,1150,89,"night","white"
"403",19:15:00,1155,94,"night","black"
"404",19:15:00,1155,94,"night","white"
"405",19:20:00,1160,99,"night","white"
"406",19:35:00,1175,114,"night","white"
"407",19:42:00,1182,121,"night","white"
"408",19:42:00,1182,121,"night","white"
"409",19:43:00,1183,122,"night","white"
"410",19:50:00,1190,129,"night","white"
"411",20:00:00,1200,139,"night","white"
"412",20:25:00,1225,164,"night","black"
"413",20:26:00,1226,165,"night","white"
"414",20:35:00,1235,174,"night","white"
"415",20:45:00,1245,184,"night","white"
"416",21:00:00,1260,199,"night","white"
"417",17:48:00,1068,6,"night","white"
"418",17:49:00,1069,7,"night","white"
"419",17:50:00,1070,8,"night","white"
"420",17:54:00,1074,12,"night","black"
"421",18:00:00,1080,18,"night","white"
"422",18:00:00,1080,18,"night","white"
"423",18:00:00,1080,18,"night","white"
"424",18:06:00,1086,24,"night","white"
"425",18:08:00,1088,26,"night","white"
"426",18:08:00,1088,26,"night","white"
"427",18:14:00,1094,32,"night","white"
"428",18:18:00,1098,36,"night","white"
"429",18:20:00,1100,38,"night","white"
"430",18:20:00,1100,38,"night","white"
"431",18:25:00,1105,43,"night","white"
"432",18:30:00,1110,48,"night","black"
"433",18:40:00,1120,58,"night","white"
"434",18:40:00,1120,58,"night","white"
"435",18:44:00,1124,62,"night","white"
"436",19:00:00,1140,78,"night","black"
"437",19:05:00,1145,83,"night","white"
"438",19:05:00,1145,83,"night","white"
"439",19:06:00,1146,84,"night","white"
"440",19:10:00,1150,88,"night","black"
"441",19:10:00,1150,88,"night","black"
"442",19:10:00,1150,88,"night","white"
"443",19:18:00,1158,96,"night","black"
"444",19:23:00,1163,101,"night","white"
"445",19:29:00,1169,107,"night","black"
"446",19:37:00,1177,115,"night","white"
"447",19:40:00,1180,118,"night","black"
"448",19:50:00,1190,128,"night","black"
"449",19:50:00,1190,128,"night","white"
"450",20:00:00,1200,138,"night","white"
"451",20:00:00,1200,138,"night","white"
"452",20:00:00,1200,138,"night","white"
"453",20:07:00,1207,145,"night","black"
"454",20:14:00,1214,152,"night","white"
"455",20:15:00,1215,153,"night","black"
"456",20:30:00,1230,168,"night","white"
"457",20:30:00,1230,168,"night","white"
"458",20:30:00,1230,168,"night","white"
"459",20:35:00,1235,173,"night","black"
"460",20:45:00,1245,183,"night","white"
"461",20:46:00,1246,184,"night","white"
"462",20:50:00,1250,188,"night","black"
"463",20:55:00,1255,193,"night","black"
"464",20:55:00,1255,193,"night","white"
"465",20:55:00,1255,193,"night","white"
"466",21:00:00,1260,198,"night","black"
"467",17:50:00,1070,7,"night","white"
"468",17:50:00,1070,7,"night","white"
"469",17:54:00,1074,11,"night","white"
"470",17:55:00,1075,12,"night","white"
"471",17:56:00,1076,13,"night","white"
"472",18:00:00,1080,17,"night","black"
"473",18:10:00,1090,27,"night","black"
"474",18:10:00,1090,27,"night","white"
"475",18:10:00,1090,27,"night","white"
"476",18:15:00,1095,32,"night","black"
"477",18:15:00,1095,32,"night","black"
"478",18:25:00,1105,42,"night","white"
"479",18:30:00,1110,47,"night","black"
"480",18:30:00,1110,47,"night","white"
"481",18:34:00,1114,51,"night","black"
"482",18:45:00,1125,62,"night","white"
"483",18:50:00,1130,67,"night","white"
"484",18:50:00,1130,67,"night","white"
"485",18:53:00,1133,70,"night","white"
"486",19:09:00,1149,86,"night","white"
"487",19:15:00,1155,92,"night","white"
"488",19:20:00,1160,97,"night","black"
"489",19:20:00,1160,97,"night","white"
"490",19:23:00,1163,100,"night","black"
"491",19:30:00,1170,107,"night","white"
"492",19:40:00,1180,117,"night","black"
"493",19:40:00,1180,117,"night","white"
"494",19:41:00,1181,118,"night","white"
"495",19:43:00,1183,120,"night","white"
"496",19:45:00,1185,122,"night","white"
"497",19:45:00,1185,122,"night","white"
"498",19:50:00,1190,127,"night","white"
"499",19:55:00,1195,132,"night","white"
"500",19:56:00,1196,133,"night","white"
"501",19:57:00,1197,134,"night","white"
"502",20:10:00,1210,147,"night","black"
"503",20:12:00,1212,149,"night","black"
"504",20:15:00,1215,152,"night","black"
"505",20:22:00,1222,159,"night","white"
"506",20:32:00,1232,169,"night","black"
"507",17:46:00,1066,2,"night","white"
"508",17:50:00,1070,6,"night","white"
"509",17:51:00,1071,7,"night","white"
"510",18:05:00,1085,21,"night","white"
"511",18:10:00,1090,26,"night","white"
"512",18:12:00,1092,28,"night","black"
"513",18:25:00,1105,41,"night","white"
"514",18:30:00,1110,46,"night","black"
"515",18:30:00,1110,46,"night","white"
"516",18:35:00,1115,51,"night","white"
"517",18:40:00,1120,56,"night","white"
"518",18:43:00,1123,59,"night","black"
"519",18:43:00,1123,59,"night","white"
"520",18:55:00,1135,71,"night","black"
"521",18:55:00,1135,71,"night","white"
"522",19:03:00,1143,79,"night","white"
"523",19:10:00,1150,86,"night","black"
"524",19:10:00,1150,86,"night","white"
"525",19:13:00,1153,89,"night","black"
"526",19:30:00,1170,106,"night","white"
"527",19:34:00,1174,110,"night","white"
"528",19:40:00,1180,116,"night","black"
"529",19:45:00,1185,121,"night","black"
"530",19:52:00,1192,128,"night","white"
"531",20:15:00,1215,151,"night","black"
"532",20:40:00,1240,176,"night","white"
"533",20:55:00,1255,191,"night","white"
"534",21:00:00,1260,196,"night","white"
"535",18:02:00,1082,17,"night","black"
"536",18:05:00,1085,20,"night","white"
"537",18:10:00,1090,25,"night","black"
"538",18:10:00,1090,25,"night","black"
"539",18:18:00,1098,33,"night","white"
"540",18:23:00,1103,38,"night","white"
"541",18:25:00,1105,40,"night","white"
"542",18:35:00,1115,50,"night","black"
"543",18:44:00,1124,59,"night","white"
"544",19:00:00,1140,75,"night","white"
"545",19:01:00,1141,76,"night","white"
"546",19:05:00,1145,80,"night","black"
"547",19:10:00,1150,85,"night","white"
"548",19:20:00,1160,95,"night","white"
"549",19:29:00,1169,104,"night","white"
"550",19:30:00,1170,105,"night","black"
"551",19:32:00,1172,107,"night","white"
"552",19:40:00,1180,115,"night","white"
"553",19:43:00,1183,118,"night","black"
"554",19:55:00,1195,130,"night","white"
"555",20:00:00,1200,135,"night","white"
"556",20:30:00,1230,165,"night","white"
"557",20:40:00,1240,175,"night","white"
"558",20:41:00,1241,176,"night","white"
"559",20:45:00,1245,180,"night","white"
"560",21:03:00,1263,198,"night","white"
"561",21:05:00,1265,200,"night","white"
"562",17:50:00,1070,4,"night","black"
"563",17:50:00,1070,4,"night","white"
"564",17:54:00,1074,8,"night","white"
"565",18:05:00,1085,19,"night","white"
"566",18:15:00,1095,29,"night","black"
"567",18:23:00,1103,37,"night","white"
"568",18:30:00,1110,44,"night","white"
"569",18:55:00,1135,69,"night","white"
"570",19:15:00,1155,89,"night","white"
"571",19:40:00,1180,114,"night","black"
"572",20:00:00,1200,134,"night","white"
"573",20:05:00,1205,139,"night","black"
"574",20:10:00,1210,144,"night","black"
"575",20:15:00,1215,149,"night","white"
"576",20:20:00,1220,154,"night","black"
"577",20:23:00,1223,157,"night","white"
"578",20:35:00,1235,169,"night","black"
"579",20:40:00,1240,174,"night","white"
"580",20:45:00,1245,179,"night","white"
"581",20:50:00,1250,184,"night","white"
"582",21:00:00,1260,194,"night","white"
"583",17:50:00,1070,3,"night","white"
"584",17:58:00,1078,11,"night","black"
"585",18:00:00,1080,13,"night","black"
"586",18:00:00,1080,13,"night","white"
"587",18:05:00,1085,18,"night","white"
"588",18:05:00,1085,18,"night","white"
"589",18:06:00,1086,19,"night","white"
"590",18:10:00,1090,23,"night","white"
"591",18:13:00,1093,26,"night","white"
"592",18:20:00,1100,33,"night","white"
"593",18:20:00,1100,33,"night","white"
"594",18:25:00,1105,38,"night","white"
"595",18:30:00,1110,43,"night","black"
"596",18:34:00,1114,47,"night","white"
"597",18:40:00,1120,53,"night","white"
"598",18:40:00,1120,53,"night","white"
"599",18:43:00,1123,56,"night","white"
"600",18:45:00,1125,58,"night","black"
"601",18:45:00,1125,58,"night","white"
"602",18:47:00,1127,60,"night","white"
"603",18:52:00,1132,65,"night","white"
"604",19:00:00,1140,73,"night","black"
"605",19:00:00,1140,73,"night","white"
"606",19:00:00,1140,73,"night","white"
"607",19:03:00,1143,76,"night","white"
"608",19:11:00,1151,84,"night","white"
"609",19:12:00,1152,85,"night","white"
"610",19:14:00,1154,87,"night","black"
"611",19:20:00,1160,93,"night","white"
"612",19:27:00,1167,100,"night","black"
"613",19:30:00,1170,103,"night","white"
"614",19:40:00,1180,113,"night","black"
"615",19:40:00,1180,113,"night","white"
"616",19:50:00,1190,123,"night","white"
"617",20:13:00,1213,146,"night","white"
"618",20:25:00,1225,158,"night","white"
"619",20:37:00,1237,170,"night","black"
"620",20:48:00,1248,181,"night","black"
"621",21:02:00,1262,195,"night","white"
"622",17:48:00,1068,0,"day","white"
"623",18:00:00,1080,12,"night","black"
"624",18:04:00,1084,16,"night","white"
"625",18:05:00,1085,17,"night","black"
"626",18:07:00,1087,19,"night","white"
"627",18:07:00,1087,19,"night","white"
